operador,r,m,SSIM_avg,E_bits,PSNR_dB,E_n,PSNR_n,Fo
propuesta,25,0.05,0.7897015810012817,6.339757424161768,18.205158712382207,0.792469678020221,0.18205158712382208,1.7642228461453247
propuesta,25,0.0703,0.785611629486084,6.384779992695191,18.169849452304465,0.7980974990868989,0.18169849452304465,1.7654076230960274
propuesta,25,0.1,0.7772290110588074,6.446486945020442,18.098091834085697,0.8058108681275552,0.18098091834085697,1.7640207975272197
propuesta,25,0.2,0.7341643571853638,6.639408784555745,17.720069075271937,0.8299260980694682,0.17720069075271938,1.7412911460075513
propuesta,25,0.3,0.6795157293478647,6.814996805246047,17.24792583840195,0.8518746006557558,0.1724792583840195,1.70386958838764
propuesta,25,0.5,0.5685275296370188,7.123077162641889,16.188693626829007,0.8903846453302361,0.16188693626829007,1.6207991112355449
propuesta,25,0.7,0.4730790704488754,7.363151703762167,15.095696001086793,0.9203939629702709,0.15095696001086792,1.5444299934300143
propuesta,25,1.0,0.3657160997390747,7.566599657321327,13.649062913103515,0.9458249571651659,0.13649062913103516,1.4480316860352755
propuesta,25,1.5,0.2586609597007434,7.569604922708174,11.914855869374284,0.9462006153385217,0.11914855869374284,1.324010133733008
propuesta,25,2.0,0.20131392776966095,7.367957700597837,10.75377450328137,0.9209947125747296,0.1075377450328137,1.2298463853772044
clasico,25,0.05,0.7924239039421082,6.2869105811617,18.23030506086323,0.7858638226452125,0.1823030506086323,1.7605907771959528
clasico,25,0.0703,0.7913879454135895,6.314243453988733,18.219154403667822,0.7892804317485916,0.18219154403667823,1.7628599211988594
clasico,25,0.1,0.7890357673168182,6.352992244862496,18.19619892135189,0.794124030607812,0.1819619892135189,1.765121787138149
clasico,25,0.2,0.7748928964138031,6.468946876910554,18.06373005369362,0.8086183596138192,0.18063730053693622,1.7641485565645585
clasico,25,0.3,0.7534378667672476,6.579139199902954,17.856895264899023,0.8223923999878693,0.17856895264899023,1.7543992194041071
clasico,25,0.5,0.6981730063756307,6.780658807017712,17.3306810615385,0.847582350877214,0.173306810615385,1.7190621678682299
clasico,25,0.7,0.6379273583491644,6.969907790292986,16.765276230758214,0.8712384737866232,0.16765276230758214,1.6768185944433698
clasico,25,1.0,0.55105988184611,7.211120248652587,15.8395660972772,0.9013900310815733,0.158395660972772,1.6108455739004552
clasico,25,1.5,0.4315365304549535,7.488663638622991,14.353443371379138,0.9360829548278738,0.14353443371379138,1.5111539189966188
clasico,25,2.0,0.3456304669380188,7.591851258836762,13.125262123897443,0.9489814073545952,0.13125262123897444,1.4258644955315884
