clave,imagen,EN,SD,FE,MG,MI_vis,MI_ir,SF,SSIM,PSNR,Qabf,Nabf,SCD,VIF,FMI,Q0,QW,QE
TopHat_r25_m030,APC_1_view_1_fk_06_005,6.635058061931714,0.10844223946332932,1.2328588119352855,0.024724511429667473,0.7307937375929295,0.9226028230212415,15.134756394799195,0.7545212523028249,19.811767011615068,0.4849767087380172,0.20213073162737086,1.5408133125314127,0.35820003225910746,0.14031926551463017,0.7598548508148222,0.877186158116241,0.12921106584437653
TopHat_r25_m030,APC_1_view_2_fk_ref_01_005,6.856937397796169,0.1253303587436676,1.1251122784796468,0.024400580674409866,1.3074237007776681,0.820822643144151,14.123371646829478,0.7937034471149025,20.90285344655601,0.5130367424389402,0.22738780460671193,1.3159463348497564,0.4162248966225006,0.17077058647826066,0.7838922500560516,0.866876786560786,0.13086538284929314
TopHat_r25_m030,APC_1_view_3_fk_ref_02_005,7.108813878032061,0.1538100242614746,1.1069536056884297,0.0292831901460886,1.4474680209639947,0.8635281955599132,16.359223667476986,0.7531681994609585,19.795999234239787,0.5400693461107721,0.21451632938429113,1.1873261788633913,0.3915834502960249,0.16781169572516796,0.7876543315633241,0.8714524658893821,0.3327862873792753
TopHat_r25_m030,APC_3_view_1_fk_bar_06_005,6.718263178258281,0.1136079803109169,1.2313093786754814,0.0234201829880476,0.9947691439882976,1.1819150772003608,14.017665345699958,0.8136462850803203,22.966732009888137,0.49223274474958084,0.2373616846765524,1.336642424714049,0.41690314695848274,0.17193772784129294,0.7809548725232006,0.8849236274432503,0.16630538810748627
TopHat_r25_m030,APC_3_view_2_fk_NL_01_005,6.782116955169182,0.12793882191181183,1.135220302498579,0.021339090541005135,1.1340654793121907,0.9796778965731786,10.783837827502271,0.8080262249995127,20.108197499029785,0.4434774921226149,0.2490851566748178,1.226474298425559,0.39582494957592806,0.14624661020031016,0.753790904197006,0.8398198379101502,0.1343012022269949
TopHat_r25_m030,APC_3_view_3_fk_NL_05_005,6.952671950086229,0.13276495039463043,1.2086139055515315,0.02207358554005623,1.2089095137132944,0.8950903934618285,9.47903211419377,0.7829768483156542,18.42848042556264,0.4098461214987909,0.22903067434988736,1.2520146511906924,0.3470225275267161,0.1363127944430764,0.7433762269829673,0.7947663254073385,0.0661235500767141
TopHat_r25_m030,Athena_2_men_in_front_of_house_meting003,6.859480082977899,0.1220569834113121,0.990672347068511,0.02485506981611252,0.7871186878872514,0.5941457223542843,11.620848120210045,0.7305684000753194,15.602137609313694,0.5143572503721034,0.14981041881191715,1.8464639010844524,0.30111671668653794,0.16787774625198149,0.7301456172923239,0.8413475610169153,0.43975296875712944
TopHat_r25_m030,Athena_APC_4_fennek01_005,5.9935588792307275,0.06187405809760094,0.9549529224908533,0.022656690329313278,0.4432115516922449,0.1472061119952145,9.509861024006511,0.7688108370760824,22.558428521261295,0.38485314403405024,0.22137536181685746,1.873447208427859,0.2794428262156306,0.09548900040388245,0.7291462236110404,0.772752717389905,0.4058376456106458
TopHat_r25_m030,Athena_heather_hei_vis,6.9447058838611015,0.12527188658714294,0.9678784291743293,0.026178352534770966,0.8702817669495777,0.6181547314358187,12.102538282224133,0.6865584574527308,15.895109073002558,0.47738320013079827,0.1641627166605917,1.7138716881218263,0.3129729952502841,0.16132584413714662,0.7317863500841293,0.7873453766243304,0.18082307028138583
TopHat_r25_m030,Athena_helicopter_helib_011,5.230668835158996,0.04834914952516556,1.1310359520111157,0.01298459991812706,1.0400336199119646,0.48434689645670626,5.597467080750893,0.8277350698047068,18.47763680892472,0.4715152378286998,0.1853085063094176,1.775589842027641,0.39825243308038827,0.1531971962722114,0.753096043032015,0.6950579255827782,0.480645732953677
TopHat_r25_m030,Athena_lake_lake,6.758613553296363,0.11454690247774124,0.9780492496871812,0.022832538932561874,0.9938847290933513,0.3392987012759774,11.258408775576884,0.7285610246558585,16.74372048334938,0.5478827767115003,0.15123674603938891,1.7198821690340356,0.3443865757009531,0.21846444587393998,0.760261476221548,0.845555361139702,0.604856124484567
TopHat_r25_m030,Athena_man_in_doorway_maninhuis,7.202322956534638,0.14349189400672913,1.0043629951845445,0.03256138041615486,0.8410713596833811,0.3802414542792898,14.23403323259382,0.6799518160937812,15.163663573654,0.5286592765487768,0.1568927145472003,1.8101076894824537,0.2848982198016368,0.18897257215991736,0.7427869462549517,0.8196256241173951,0.2988243172494116
