escena,entrada,gt_People,gt_Lamp,tp_People,tp_Lamp,recupera_People,recupera_Lamp,recupera_ambas
00127,TopHat_Clasico,10,5,4,2,1,1,1
00127,Propuesta_Novedosa,10,5,5,4,1,1,1
00129,VIS,8,5,3,4,1,1,1
00129,IR,8,5,6,1,1,1,1
00129,PiramideLaplace,8,5,3,4,1,1,1
00129,RatioPiramide,8,5,4,3,1,1,1
00129,DWT,8,5,3,4,1,1,1
00129,DTCWT,8,5,3,3,1,1,1
00129,Curvelet,8,5,3,3,1,1,1
00129,TopHat_Clasico,8,5,3,1,1,1,1
00129,Propuesta_Novedosa,8,5,2,2,1,1,1
00130,VIS,6,4,1,3,1,1,1
00130,IR,6,4,5,1,1,1,1
00130,PiramideLaplace,6,4,2,3,1,1,1
00130,RatioPiramide,6,4,5,1,1,1,1
00130,DWT,6,4,2,2,1,1,1
00130,DTCWT,6,4,2,2,1,1,1
00130,Curvelet,6,4,1,1,1,1,1
00130,TopHat_Clasico,6,4,0,0,0,0,0
00130,Propuesta_Novedosa,6,4,1,1,1,1,1
00132,VIS,6,4,2,2,1,1,1
00132,IR,6,4,4,1,1,1,1
00132,PiramideLaplace,6,4,4,2,1,1,1
00132,RatioPiramide,6,4,4,1,1,1,1
00132,DWT,6,4,3,1,1,1,1
00132,DTCWT,6,4,4,1,1,1,1
00132,Curvelet,6,4,3,1,1,1,1
00132,TopHat_Clasico,6,4,0,1,0,1,0
00132,Propuesta_Novedosa,6,4,2,1,1,1,1
00135,VIS,11,3,1,1,1,1,1
00135,IR,11,3,4,1,1,1,1
00135,PiramideLaplace,11,3,3,1,1,1,1
00135,RatioPiramide,11,3,4,0,1,0,0
00135,DWT,11,3,3,1,1,1,1
00135,DTCWT,11,3,4,1,1,1,1
00135,Curvelet,11,3,3,1,1,1,1
00135,TopHat_Clasico,11,3,1,1,1,1,1
00135,Propuesta_Novedosa,11,3,3,1,1,1,1
00136,VIS,8,3,1,1,1,1,1
00136,IR,8,3,5,1,1,1,1
00136,PiramideLaplace,8,3,4,1,1,1,1
00136,RatioPiramide,8,3,3,1,1,1,1
00136,DWT,8,3,3,1,1,1,1
00136,DTCWT,8,3,4,1,1,1,1
00136,Curvelet,8,3,4,1,1,1,1
00136,TopHat_Clasico,8,3,3,2,1,1,1
00136,Propuesta_Novedosa,8,3,3,2,1,1,1
00138,VIS,11,3,0,2,0,1,0
00138,IR,11,3,5,1,1,1,1
00138,PiramideLaplace,11,3,2,1,1,1,1
00138,RatioPiramide,11,3,2,1,1,1,1
00138,DWT,11,3,2,2,1,1,1
00138,DTCWT,11,3,1,2,1,1,1
00138,Curvelet,11,3,1,1,1,1,1
00138,TopHat_Clasico,11,3,1,1,1,1,1
00138,Propuesta_Novedosa,11,3,2,2,1,1,1
00143,VIS,7,2,1,0,1,0,0
00143,IR,7,2,3,1,1,1,1
00143,PiramideLaplace,7,2,2,0,1,0,0
00143,RatioPiramide,7,2,3,0,1,0,0
00143,DWT,7,2,2,0,1,0,0
00143,DTCWT,7,2,1,0,1,0,0
00143,Curvelet,7,2,1,0,1,0,0
00143,TopHat_Clasico,7,2,1,0,1,0,0
00143,Propuesta_Novedosa,7,2,1,0,1,0,0
00144,VIS,7,2,2,1,1,1,1
00144,IR,7,2,4,1,1,1,1
00144,PiramideLaplace,7,2,2,1,1,1,1
00144,RatioPiramide,7,2,4,0,1,0,0
00144,DWT,7,2,3,1,1,1,1
00144,DTCWT,7,2,2,1,1,1,1
00144,Curvelet,7,2,2,1,1,1,1
00144,TopHat_Clasico,7,2,2,1,1,1,1
00144,Propuesta_Novedosa,7,2,2,1,1,1,1
00147,VIS,12,1,1,1,1,1,1
00147,IR,12,1,8,1,1,1,1
00147,PiramideLaplace,12,1,6,1,1,1,1
00147,RatioPiramide,12,1,6,1,1,1,1
00147,DWT,12,1,6,0,1,0,0
00147,DTCWT,12,1,6,0,1,0,0
00147,Curvelet,12,1,7,0,1,0,0
00147,TopHat_Clasico,12,1,3,0,1,0,0
00147,Propuesta_Novedosa,12,1,2,0,1,0,0
00186,VIS,6,1,1,1,1,1,1
00186,IR,6,1,6,0,1,0,0
