EN,SD,FE,MG,MI_vis,MI_ir,SF,Qabf,Nabf,SSIM,SCD,VIF,image
6.467994807542258,0.09190207719802856,1.2018168220382652,0.018014991655945778,1.0922987780792635,0.9858414726064997,10.716573715209961,0.43291191254499,0.03159845104085656,0.7926451860294963,1.464321792125702,0.3162282688289907,APC_1_view_1_fk_06_005.bmp
6.662225311655813,0.10866308212280273,1.0931631813571747,0.017873501405119896,1.5859338493340156,0.8773160211368073,10.088715553283691,0.48705319380048306,0.04014552320864786,0.8372379699515426,1.139572262763977,0.378552837007052,APC_1_view_2_fk_ref_01_005.bmp
6.951896356221644,0.1366816908121109,1.0825190910782623,0.021066933870315552,1.8301031381105255,0.9977924929352718,11.60511589050293,0.49629195744040366,0.032980623139825756,0.8005168942277612,1.0488616824150085,0.35450806296263326,APC_1_view_3_fk_ref_02_005.bmp
6.502349869804918,0.09537654370069504,1.1917372341158807,0.017219269648194313,1.232024412118937,1.3319919093290753,9.985679626464844,0.4650138835169413,0.04078540126065454,0.8541392623961869,1.1705968379974365,0.3760870029132872,APC_3_view_1_fk_bar_06_005.bmp
6.666477373862167,0.11924386024475098,1.1158640452503017,0.016008051112294197,1.4040142685600134,1.0991652927213669,7.931081295013428,0.4236391949709087,0.051938524259569845,0.8441421595461293,1.1606448888778687,0.3578005840044892,APC_3_view_2_fk_NL_01_005.bmp
6.841050396682111,0.12364794313907623,1.1892102341900765,0.01660570502281189,1.584824252968451,1.0105969639815084,7.171237945556641,0.3838641340343933,0.04596565056838941,0.8159763794588211,1.1676681637763977,0.3175570517984939,APC_3_view_3_fk_NL_05_005.bmp
6.526054035271374,0.09711258858442307,0.9425176820998213,0.018345369026064873,0.8697072117908264,0.7491077975304294,8.515203475952148,0.44765495363018337,0.022806065743172288,0.759415828024582,1.7900692820549011,0.27198860900313926,Athena_2_men_in_front_of_house_meting003.bmp
5.574371248687484,0.04607328400015831,0.8881638142289077,0.016810623928904533,0.4467224870620369,0.15707880130112295,7.015369415283203,0.338902492920744,0.04156158840026615,0.8020658707198305,1.7565744519233704,0.2505610209642597,Athena_APC_4_fennek01_005.bmp
7.105869992794598,0.19956041872501373,1.002356551061217,0.016050729900598526,4.03820444549965,4.03820444549965,6.452863693237305,0.9465887410050331,0.050723538398821585,0.9946172424800797,0.6570263504981995,1.031537666427291,Athena_heather_IR_hei_vis_g.bmp
6.719397742105343,0.10704120248556137,0.9364774031309473,0.018885239958763123,0.9437210101617228,0.7093663127274685,8.806117057800293,0.3996221880586184,0.02368994338382389,0.7242442435193581,1.6551244258880615,0.2658706981540705,Athena_heather_hei_vis.bmp
4.967431791487396,0.03950444236397743,1.0741157818232339,0.00918364617973566,1.0765714532371793,0.5710534474414546,3.939741849899292,0.38094035973123025,0.027927870934715958,0.8554993073639003,1.708760678768158,0.31875021323845065,Athena_helicopter_helib_011.bmp
6.595226072308856,0.09887144714593887,0.9544051987397543,0.016086265444755554,1.3032007460776278,0.41941484379239563,8.118281364440918,0.4587945192002481,0.017626241208474204,0.7720128783450945,1.6808927059173584,0.2956858970925311,Athena_lake_lake.bmp
6.852003731487081,0.11203654110431671,0.9555110250267411,0.023661945015192032,0.8993064792028328,0.54438026744032,10.36329174041748,0.4578428132242332,0.022701493727211457,0.7110098955381999,1.7273533344268799,0.2604732003641222,Athena_man_in_doorway_maninhuis.bmp
6.989695508206239,0.13848598301410675,1.028120098642906,0.020673183724284172,1.3144572988616963,0.6057433274754114,9.458879470825195,0.45453508027795575,0.02309209534688885,0.6952741026110502,1.3334697782993317,0.28449619205615817,Athena_soldier_behind_smoke_1_meting012-1200.bmp
6.9375794882831565,0.13295063376426697,1.1169030033757503,0.01775989681482315,1.3497449143136053,0.8856981779282803,9.054798126220703,0.4814763249563805,0.022186752717670944,0.7040548446377384,1.4870308637619019,0.32383500251590147,Athena_soldier_behind_smoke_2_meting012-1500.bmp
6.899569431453322,0.11877655982971191,0.9861781612340085,0.02441750280559063,1.2738771390667503,0.29199473620268734,11.485516548156738,0.47962246263885727,0.02360226452899137,0.7018482678872001,1.4735459685325623,0.27451111698527053,Athena_soldier_behind_smoke_3_meting012-1700.bmp
6.608710924741647,0.10084494948387146,0.9636962867339484,0.018544550985097885,1.4838764719737791,0.5531398079176388,9.654206275939941,0.5533697889622926,0.013820201450446072,0.7798930490775149,1.6554709076881409,0.3254030216401593,Athena_soldier_in_trench_1_meting016.bmp
6.374712903644269,0.08407160639762878,0.9652664354920368,0.020989105105400085,1.6444570688406381,0.2526402639113061,10.46146011352539,0.654860898845375,0.0083237218360341,0.7667356979007611,1.635459542274475,0.3891032208486438,Athena_soldier_in_trench_2_meting055.bmp
6.620495367453057,0.1901055872440338,1.1112368886629882,0.01554717868566513,1.1774318953357956,1.6296539712502869,9.711678504943848,0.48574692772953304,0.02571354973796902,0.7909179947393884,0.9134311378002167,0.3784692854185862,Triclobs_Bosnia_R.bmp
6.966483984088493,0.12488006055355072,1.019876255871938,0.02906755357980728,1.5685969385903213,1.2772578471858262,15.694955825805664,0.4569790707982199,0.02861814214222181,0.7002616607231851,1.312269926071167,0.3131627640864202,Triclobs_jeep_in_smoke_R.bmp
