r,m,clave,detectado
5,0.1,138|People|3,0
5,0.1,138|People|4,0
5,0.1,138|People|5,0
5,0.1,138|People|6,0
5,0.1,138|People|7,0
5,0.1,138|People|8,1
5,0.1,138|People|9,0
5,0.1,138|People|10,0
5,0.1,138|Lamp|0,1
5,0.1,138|Lamp|1,0
5,0.1,138|Lamp|2,0
5,0.1,143|People|0,0
5,0.1,143|People|1,0
5,0.1,143|People|2,1
5,0.1,143|People|3,0
5,0.1,143|People|4,0
5,0.1,143|People|5,0
5,0.1,143|People|6,0
5,0.1,143|Lamp|0,1
5,0.1,143|Lamp|1,0
5,0.1,144|People|0,0
5,0.1,144|People|1,1
5,0.1,144|People|2,1
5,0.1,144|People|3,0
5,0.1,144|People|4,0
5,0.1,144|People|5,0
5,0.1,144|People|6,0
5,0.1,144|Lamp|0,1
5,0.1,144|Lamp|1,0
5,0.1,147|People|0,1
5,0.1,147|People|1,0
5,0.1,147|People|2,1
5,0.1,147|People|3,1
5,0.1,147|People|4,0
5,0.1,147|People|5,0
5,0.1,147|People|6,1
5,0.1,147|People|7,0
5,0.1,147|People|8,0
5,0.1,147|People|9,1
5,0.1,147|People|10,0
5,0.1,147|People|11,1
5,0.1,147|Lamp|0,0
5,0.1,186|People|0,0
5,0.1,186|People|1,1
5,0.1,186|People|2,0
5,0.1,186|People|3,0
5,0.1,186|People|4,0
5,0.1,186|People|5,1
5,0.1,186|Lamp|0,1
5,0.1,187|People|0,1
5,0.1,187|People|1,1
5,0.1,187|People|2,0
5,0.1,187|People|3,1
5,0.1,187|People|4,1
5,0.1,187|People|5,0
5,0.1,187|Lamp|0,1
5,0.1,188|People|0,1
5,0.1,188|People|1,1
5,0.1,188|People|2,1
5,0.1,188|People|3,1
5,0.1,188|People|4,0
5,0.1,188|People|5,0
5,0.1,188|Lamp|0,1
5,0.1,191|People|0,1
5,0.1,191|People|1,1
5,0.1,191|People|2,1
5,0.1,191|People|3,1
5,0.1,191|People|4,1
5,0.1,191|People|5,1
5,0.1,191|Lamp|0,1
5,0.1,193|People|0,1
