r,m,Fo
3,0.05,1.7622621189865721
3,0.06,1.7621875666865006
3,0.07,1.7618441726291874
3,0.08,1.7612556812541733
3,0.09,1.7604642523037246
3,0.1,1.7594487807377457
3,0.11,1.7582325247302386
3,0.12,1.7568037782045114
3,0.13,1.75519950576178
3,0.14,1.7534248492786284
3,0.15,1.7514415575712343
3,0.16,1.7492879327870263
3,0.17,1.746954923604834
3,0.18,1.7444148235969859
3,0.19,1.7417670300757326
3,0.2,1.7389927933817244
3,0.21,1.7361858595359205
3,0.22,1.733283975294208
3,0.23,1.730297786047761
3,0.24,1.7272383970092253
3,0.25,1.72412489515231
3,0.26,1.7209724469123373
3,0.27,1.7177502118177312
3,0.28,1.7144860852009371
3,0.29,1.7111715866295292
3,0.3,1.7078088882721636
3,0.31,1.7044328059684242
3,0.32,1.7010165121405219
3,0.33,1.6975748671711652
3,0.34,1.6940943905705599
3,0.35,1.6905875717069827
3,0.36,1.687053039468596
3,0.37,1.6834938990941835
3,0.38,1.6799012108227735
3,0.39,1.6763257027566503
3,0.4,1.6727078529158064
3,0.41,1.6691355034501925
3,0.42,1.6655440824975878
3,0.43,1.6619592597219743
3,0.44,1.6583766161053444
3,0.45,1.654800362473156
3,0.46,1.6512384670449276
3,0.47,1.647689203393834
3,0.48,1.6441455255393487
3,0.49,1.640625533976819
3,0.5,1.6370618009398206
3,0.51,1.6335949274872992
3,0.52,1.6300992618305414
3,0.53,1.6266242272335072
3,0.54,1.6231651043915771
3,0.55,1.6197116726775524
3,0.56,1.6162888249136733
3,0.57,1.612903677340012
3,0.58,1.609520443348379
3,0.59,1.6061551928011202
3,0.6,1.6027915096044747
3,0.61,1.599481163041192
3,0.62,1.5961931989931764
3,0.63,1.5929202655024204
3,0.64,1.5896649649486185
3,0.65,1.5864366951421423
3,0.66,1.5832268242860774
3,0.67,1.5800572557810053
3,0.68,1.5769048872891773
3,0.69,1.573785498380236
3,0.7,1.5706733703205702
3,0.71,1.5676183019275711
3,0.72,1.564554873104991
3,0.73,1.5615385239701218
3,0.74,1.5585533099872955
3,0.75,1.55558214036803
3,0.76,1.5526479528308545
3,0.77,1.549744759939778
3,0.78,1.5468490804537902
3,0.79,1.5439895042381406
3,0.8,1.5411369393500622
3,0.81,1.5383581581605519
3,0.82,1.5355783646250465
3,0.83,1.5328380168329196
3,0.84,1.530119315322226
3,0.85,1.5274260874359273
3,0.86,1.5247554390451625
3,0.87,1.522103969151419
3,0.88,1.519479829388975
3,0.89,1.5168915278918187
3,0.9,1.5143324709204393
3,0.91,1.5118044579055112
3,0.92,1.5092888320724656
3,0.93,1.5068069480805715
3,0.94,1.5043538949736976
3,0.95,1.501923149289958
3,0.96,1.4995160549094928
3,0.97,1.4971392107579753
3,0.98,1.4947736472231519
3,0.99,1.4924836711850513
3,1.0,1.4900169408048909
3,1.01,1.487849770820528
3,1.02,1.4855916763356276
3,1.03,1.4833556029873656
