operador,r,m,EN,SD,FE,MG,MI_vis,MI_ir,SF,SSIM,PSNR,F_clasicas,F_fidelidad,F_nueve,F_o
propuesta,25,0.05,6.329364635630846,0.08657397950688998,1.0276290107112485,0.018882763882478077,0.9269014521636111,0.4794520934395714,9.221546661553813,0.7677049604586571,19.0964750570315,1.4660307368623988,1.310258097429768,2.7762888342921666,1.7498402904828279
propuesta,25,0.0703,6.3781957342073765,0.08920887609322865,1.035485057136347,0.020403329903880756,0.9010262165924994,0.47026210101230376,10.017239015517502,0.7633288304278324,19.058672753151036,1.5095059304535803,1.2967376373605435,2.8062435678141235,1.7511900247352647
propuesta,25,0.1,6.445521752879658,0.09322568153341611,1.0462808522682747,0.0226400891939799,0.860467173539463,0.4577781535474526,11.189494846062601,0.7542673372345504,18.98167010202656,1.5731174775713748,1.2736453700265449,2.84676284759792,1.7497742573647732
propuesta,25,0.2,6.655748107007503,0.10731010387341182,1.0803531253670149,0.03012335921327273,0.7496490575527979,0.43092001287895415,14.925409238356016,0.7081104972769602,18.573615814584276,1.7813746386934861,1.188988923030741,2.970363561724227,1.7258151687987409
propuesta,25,0.3,6.844641839785354,0.12088000029325485,1.1111796980386772,0.03736219182610512,0.6800781350809473,0.4211424107691862,17.95923722057562,0.6508406231746652,18.05891356822072,1.9690443554870771,1.1067348953194058,3.075779250806483,1.6870099888300416
propuesta,25,0.5,7.171034664450425,0.14785446474949518,1.165020729645826,0.051650685568650566,0.5796708759351484,0.41522414995284523,23.876963984556777,0.537941835756273,16.887933034324828,2.3317619891386627,0.9555449225715197,3.287306911710183,1.6032004991558244
propuesta,25,0.7,7.413667279123387,0.17520083487033844,1.2052991992444257,0.06568369393547376,0.5115849244362937,0.4090675296673205,29.728158708440684,0.44455131980632806,15.669973526755284,2.679172593060205,0.8314141685997845,3.5105867616599893,1.5279594649643042
propuesta,25,1.0,7.588543513347343,0.21399651964505514,1.2346478488574013,0.08532583216826121,0.44102023251772055,0.3946523838598075,38.170643370392845,0.3434189750518876,14.059295858990415,3.147563148656172,0.6929300877361737,3.8404932363923456,1.4325798728102097
propuesta,25,1.2,7.594437565422898,0.23678100605805716,1.235902824642342,0.0969560941060384,0.40924470975705035,0.38587365749878527,43.43627836619325,0.29634518545434574,13.193467264847309,3.415641069258518,0.6270594499167778,4.042700519175296,1.377584553780681
propuesta,25,1.5,7.502264904398743,0.26607970893383026,1.2212821159991416,0.11217083285252254,0.37433379550690526,0.37340579526080236,50.725023986806185,0.24621845470681014,12.161278438375462,3.758811603678745,0.5547661367824916,4.313577740461236,1.3056143521404078
propuesta,25,2.0,7.216181082580785,0.3043653666973114,1.175522654488231,0.13239425420761108,0.3338483210680315,0.354011606899617,61.2743465232378,0.19527270188511867,10.933780487216263,4.2071231730691165,0.4765754887491934,4.68369866181831,1.2066331420798795
clasico,25,0.05,6.273150826578539,0.083928265919288,1.0184986759100598,0.017111854006846745,0.9532531587015018,0.4894175418656996,8.301011880785921,0.7704596511232609,19.123289618223016,1.4164514973338367,1.3223602224472912,2.738811719781128,1.7458364006278084
clasico,25,0.0703,6.3029306496992215,0.08536824708183606,1.0233052750541924,0.017902104494472344,0.9418482591483901,0.48279302796407664,8.71531259874154,0.7694234781065492,19.11130143338394,1.4398432816774032,1.3166968142185054,2.7565400958959083,1.748402823652791
clasico,25,0.1,6.345177657151016,0.08753443260987599,1.030111919345219,0.01906421532233556,0.9234086087889,0.4735376492502777,9.325279004607124,0.7669512381269045,19.086600510298755,1.4741277955972794,1.3070538077396865,2.781181603336966,1.7509644503737691
clasico,25,0.2,6.473151693559951,0.09527967125177383,1.0505494025368658,0.02301274302105109,0.8533510335235679,0.44987946764088055,11.402613328044767,0.7517026842468076,18.943561305868727,1.589201676287056,1.266945922596607,2.856147598883663,1.750282259000489
clasico,25,0.3,6.594262395804339,0.10346891110142072,1.0701269426198667,0.026969983552893,0.790413518076293,0.4339931717145597,13.465066712664509,0.7286282178919236,18.719281454048147,1.7039876592880874,1.2219227048801182,2.9259103641682054,1.7401038319079476
clasico,25,0.5,6.812545210632886,0.11945070574680965,1.1056023319051855,0.034652131920059524,0.7082732252609333,0.4210989319552281,16.909744311612375,0.6702541036133488,18.145627011511852,1.913386059743721,1.1340534130325077,3.0474394727762286,1.7032785250575782
clasico,25,0.7,7.0138642035201215,0.13475416352351507,1.1387494268148068,0.04217065249880155,0.648047789399245,0.41745623297214846,19.98457515349675,0.6078127922240033,17.518560054727782,2.1099830588968467,1.0493743983641295,3.1593574572609757,1.6597314182112963
clasico,25,1.0,7.26229560593207,0.15812843292951584,1.179880097180394,0.053332723677158356,0.5792066418331614,0.4112766247893462,24.603322453818887,0.520392187713557,16.486933647004925,2.396922514596051,0.932882340839233,3.329804855435284,1.593048474925115
clasico,25,1.2,7.38733850470926,0.17368380725383759,1.2007575902735486,0.06064119562506676,0.543262018455019,0.40743170019706315,27.63792963169256,0.46953427946794646,15.799872799221271,2.580050175265045,0.8652064371231797,3.445256612388225,1.5509503205488167
clasico,25,1.5,7.518102215143632,0.19630000491937002,1.2227948544336849,0.07120911280314128,0.498925663131126,0.39917878342838325,32.086684364716376,0.40505210854144424,14.833716626423387,2.839036958861645,0.7779153864455554,3.6169523453072,1.493152051698632
clasico,25,2.0,7.57873898894681,0.2304143359263738,1.2333681603624795,0.0871382753054301,0.449030635414932,0.38715362824162464,39.11600548364095,0.3252468289976822,13.482581752157785,3.2160449282435284,0.6691187124333992,3.885163640676928,1.4074150201376114
clasico,5,0.05,6.237230862487888,0.08201462527116139,1.0128565720800273,0.016966644674539566,0.9756577844287819,0.4970477117806942,8.270937270508941,0.7708109680288412,19.130070537291086,1.4053753720188866,1.3302880474541212,2.7356634194730076,1.7417655312127378
clasico,5,0.0703,6.252889539019319,0.08265529200434685,1.0154463803689413,0.01769939965258042,0.9703168518128694,0.49296541131999055,8.67383058286783,0.7701108952096253,19.12467389220082,1.424323182115387,1.3271781999148484,2.751501382030235,1.7429688265090484
clasico,5,0.1,6.274589635710214,0.0836324617266655,1.0190078090698074,0.018778841321667034,0.9616733542337176,0.48610768844357616,9.26780020735579,0.768293543985925,19.113524350451225,1.4521090214146197,1.3213740481597607,2.77348306957438,1.743752491954214
clasico,5,0.2,6.3364651213011856,0.08724844579895337,1.0289315803578514,0.022461748371521633,0.9136500217142848,0.4581351126182283,11.29644154378247,0.7562944459593498,19.04815066779912,1.545717793896152,1.2897222362204692,2.8354400301166214,1.7388340927999892
