method,rango_17,puesto
PiramideLaplace,3.1470588235294117,1
DTCWT,3.2588235294117647,2
Propuesta_Novedosa,3.458823529411765,3
RatioPiramide,3.9176470588235297,4
DWT,4.555882352941176,5
Curvelet,4.661764705882352,6
TopHat_Clasico,5.000000000000001,7
