referencia,r,m,pares,gana_propuesta,pierde_propuesta,empata,rango9_propuesta,rango9_referencia,W,p,nabf_propuesta,nabf_referencia,nabf_gana_propuesta
Referencia_OyE,25,0.695,20,4,10,6,3.9556,3.8833,28.0,0.12144378295109239,0.3742,0.4598,20
Referencia_OyE_m0622,25,0.622,20,3,11,6,3.9667,3.85,15.0,0.017933949812919077,0.3742,0.4097,20
