method,image,r,m,EN,SD,FE,MG,MI_vis,MI_ir,SF,SSIM,PSNR,Qabf,Nabf,SCD,VIF,FMI,Q0,QW,QE
Referencia_OyE,APC_1_view_1_fk_06_005,25,0.695,7.021397180018989,0.1369561403989792,1.3046444062260059,0.037790972739458084,0.5644172450404281,0.9209888742585207,20.362286090544263,0.6318625305083376,18.396664189895503,0.3967107305628571,0.46873688634443744,1.4895510958961582,0.39717227896181295,0.14060885481107038,0.6614734230349706,0.7948283467533086,0.12488486008046895
Referencia_OyE,APC_1_view_2_fk_ref_01_005,25,0.695,7.2119023342008255,0.15447236597537994,1.183356270689199,0.03757469356060028,0.998097774375446,0.7838304657126267,20.30330748536966,0.659540101135099,19.117324272691892,0.39207334854505277,0.5062923679773833,1.3650247455524787,0.4460225966676727,0.16096096995770287,0.6707907999345591,0.7927363766797036,0.1567948928545477
Referencia_OyE,APC_1_view_3_fk_ref_02_005,25,0.695,7.452125630081291,0.18529285490512848,1.1604126198539984,0.04596252739429474,1.121876954312999,0.8324608294888184,24.337024038243957,0.6151998585893097,17.94807439362748,0.4196889660313167,0.4947137389410758,1.2297918824589875,0.4192013438534764,0.16213560807176147,0.6721858515918958,0.7853907076142559,0.3489270869046757
Referencia_OyE,APC_3_view_1_fk_bar_06_005,25,0.695,7.124987579085853,0.14634384214878082,1.3058529855552865,0.0357467457652092,0.8526445761820362,1.1001471632311959,19.712186525516678,0.6824214807313427,19.956747522433357,0.3796567016840832,0.5142934642999227,1.3016834065979133,0.4493757814817116,0.16333816381022898,0.669231238820324,0.782379043225672,0.18088978638412792
Referencia_OyE,APC_3_view_2_fk_NL_01_005,25,0.695,7.055115121771407,0.1467897891998291,1.1809159257560822,0.03263116255402565,0.840352105317608,0.8661149855450996,15.492092779105686,0.68727595596073,18.957452453905606,0.33649038261626707,0.530334052463022,1.1971872017772596,0.43329487756393475,0.13991923254570393,0.6503355001393407,0.7570229176765644,0.155488093303061
Referencia_OyE,APC_3_view_3_fk_NL_05_005,25,0.695,7.185911936508616,0.15335050225257874,1.2491590503454337,0.03383173048496246,0.9002694945949505,0.7445358262452373,14.146483840498785,0.6674322381293851,17.59446776091383,0.32301829569536367,0.5131132871157216,1.2639515963526042,0.37500920760406764,0.12918800309620881,0.6476388934449187,0.7128321332773345,0.0792851933625993
Referencia_OyE,Athena_2_men_in_front_of_house_meting003,25,0.695,7.199770380330683,0.1630496382713318,1.0398183732228392,0.03779509291052818,0.6639904175051592,0.4496376089739338,17.520241384186182,0.6277707251205933,14.7139034022807,0.44656640208902704,0.4050015861357423,1.8074501510146308,0.31955698510795055,0.1556220504462071,0.6581712927606902,0.800894558745954,0.3795068028171036
Referencia_OyE,Athena_APC_4_fennek01_005,25,0.695,6.549239272118849,0.09155750274658203,1.0434894040457798,0.03528193384408951,0.4088447654803739,0.13550386612292134,15.023440318870199,0.6534932365606406,20.916177929862307,0.323698887689563,0.5181822558936968,1.81925781418038,0.3049675773784653,0.10098028064294969,0.6449104080822268,0.6947087869961261,0.3610462439237639
Referencia_OyE,Athena_heather_hei_vis,25,0.695,7.259743627076407,0.1593744158744812,1.0117850022003316,0.041216228157281876,0.624716283889139,0.4921144828072248,18.602206607021127,0.5733150183353809,15.045235426903352,0.4037305250417206,0.4467918129091761,1.6770327836411163,0.3357780103615056,0.14852218566048092,0.6550998835078081,0.7640621603648197,0.18898360404438477
Referencia_OyE,Athena_helicopter_helib_011,25,0.695,5.666611337132901,0.0651172548532486,1.2253005017811023,0.020998148247599602,0.8371622095701481,0.39612451985010344,9.084717689901554,0.7256780312920559,18.175166952419303,0.3956760281149413,0.4627167997741009,1.7451393445170074,0.48424798395951896,0.16369917162156866,0.6563815119052079,0.6772283027128038,0.47968600431767494
Referencia_OyE,Athena_lake_lake,25,0.695,7.062555437398202,0.14140036702156067,1.0220331421453208,0.03579609841108322,0.7061921402606939,0.24065211424250546,16.4725805656264,0.6078165864923517,15.947731617556087,0.45018172848407056,0.41545056253942936,1.6607668455915447,0.37305970754050005,0.1991864025936936,0.67330420924034,0.7983254199917166,0.5149838854654907
Referencia_OyE,Athena_man_in_doorway_maninhuis,25,0.695,7.517052595566719,0.19464124739170074,1.0482520022228659,0.04905296117067337,0.6984872561752047,0.2593885612640132,21.217701570399157,0.5741342661797768,13.993156154628988,0.44494285273062084,0.4026838779667298,1.7716783711175483,0.2961632872652079,0.1665116588289296,0.6595051970468662,0.7715092916085586,0.263318194947018
Referencia_OyE,Athena_soldier_behind_smoke_1_meting012-1200,25,0.695,7.560456735509055,0.19497109949588776,1.1120738400651429,0.04473042115569115,0.9429532034568786,0.26168892498595075,19.457475726338128,0.5341617900585887,12.81396416374487,0.4365443752731597,0.43867298713113717,1.3719114887448631,0.3455952473523248,0.1729622514278207,0.6324749657514656,0.7778346690859421,0.2616645299198526
Referencia_OyE,Athena_soldier_behind_smoke_2_meting012-1500,25,0.695,7.32697399494266,0.16810816526412964,1.1795928644030071,0.035979803651571274,0.9518348830902317,0.40005125881770565,17.104042386055767,0.5647246358568133,11.027770703070022,0.43810670527831175,0.4082628128085866,1.5772566511888784,0.37782168469051963,0.15361081462062048,0.6259227281135862,0.7590629583006213,0.29410643790597457
Referencia_OyE,Athena_soldier_behind_smoke_3_meting012-1700,25,0.695,7.458202659078448,0.17459018528461456,1.0660254465895416,0.052876830101013184,0.97444204776028,0.19593981281868794,24.335641436825806,0.5427162842362705,13.292611661906847,0.4462564282841804,0.45261681881998256,1.6093190981339496,0.32283800998579093,0.17943964950080135,0.676779420160175,0.7916827676953028,0.3036417242859483
Referencia_OyE,Athena_soldier_in_trench_1_meting016,25,0.695,7.154735739321675,0.14619947969913483,1.0433187868353484,0.041598185896873474,0.923594069494843,0.32240545305430823,20.454937706715256,0.5972256303319379,15.762197653893782,0.49653228305152947,0.4080098579276081,1.6279278193629128,0.40927323056229936,0.21334804928953888,0.7328996374633242,0.8545109710238235,0.47652333452443807
Referencia_OyE,Athena_soldier_in_trench_2_meting055,25,0.695,7.019159695668458,0.1344468593597412,1.0628493176083198,0.0498168058693409,0.901908848854138,0.18398594681584152,23.501932963408443,0.5521348341821297,17.78323040551363,0.5210680959597115,0.42008792363086617,1.646039682076816,0.5019659391767738,0.2485457926734967,0.7627826983476153,0.8745741729227239,0.44561998447264195
Referencia_OyE,Triclobs_Bosnia_R,25,0.695,7.077047760878933,0.241047665476799,1.1878682935690814,0.03375041484832764,0.8481974671350784,1.2158520543650984,21.884023523306222,0.6448239371418365,14.442926044914659,0.4396718646229926,0.45283163951785854,1.109582127595862,0.4373456723436948,0.19921258169734388,0.6423933623313871,0.846108520327591,0.7583209090446951
Referencia_OyE,Triclobs_Kaptein_1123,25,0.695,7.071239349384324,0.16498742997646332,1.0110810916260193,0.03272898867726326,0.738999341347997,0.6143967059634377,14.161982122038703,0.6272167138243779,15.434235793152615,0.3965078195244621,0.4454995994614374,1.6051837763276988,0.36323511231238775,0.1327477819061353,0.6070813271374206,0.7260183848298968,0.470356587344586
Referencia_OyE,Triclobs_jeep_in_smoke_R,25,0.695,7.457561592714618,0.1973087340593338,1.0917688194624202,0.06570962071418762,1.1696921876154942,0.8507977059240512,36.78977396106338,0.5310666819410247,14.871611544433067,0.4277958976981184,0.4919691405710378,1.4146480658480542,0.3877217341473111,0.19772914220571927,0.6996246175177109,0.8000831827392704,0.642552879557981
Referencia_OyE_m0622,APC_1_view_1_fk_06_005,25,0.622,6.945232778195581,0.13192513585090637,1.2904923139508055,0.035431649535894394,0.5851088212964932,0.9164463410760871,19.57482954857747,0.6553292631708126,18.659229772090434,0.42708463815700853,0.42178406933714796,1.504340191958094,0.3921111559814509,0.14126295241934372,0.683681682153316,0.8079006325356862,0.12539504915637464
Referencia_OyE_m0622,APC_1_view_2_fk_ref_01_005,25,0.622,7.148202206823964,0.14918619394302368,1.1729041123428998,0.03521747887134552,1.0421622694881987,0.7852755802089039,19.445621317033222,0.6852105579193885,19.45414696440879,0.4271043622697644,0.45716631584303946,1.3677963462274034,0.44254352071384895,0.16281554191734532,0.6953529955461791,0.808148636522651,0.1481694153685563
Referencia_OyE_m0622,APC_1_view_3_fk_ref_02_005,25,0.622,7.3984083946297865,0.1795499324798584,1.1520480053780995,0.04300600290298462,1.1718365411655483,0.8349301833657605,23.142239174587253,0.6410590299324566,18.293347448896455,0.45888114609969377,0.4432004450469213,1.2321149589279137,0.41614836382806986,0.16316210931339803,0.6976705359132973,0.8025724448115188,0.35215842965417643
Referencia_OyE_m0622,APC_3_view_1_fk_bar_06_005,25,0.622,7.0492077264738,0.140595480799675,1.2919642109181404,0.03355773538351059,0.8809673253708781,1.1108113793668024,18.944236157212984,0.7078784894507895,20.452662909054094,0.4120583979740799,0.4665360101760548,1.3146804882844194,0.4453836243052408,0.1649768578142532,0.693214684023693,0.7990505063370791,0.17574764315533176
Referencia_OyE_m0622,APC_3_view_2_fk_NL_01_005,25,0.622,6.997195447812798,0.14305269718170166,1.1712210782288957,0.03056163340806961,0.8747417283419583,0.8723357064532387,14.7272024784857,0.7109896347288591,19.200481649964303,0.36638579006597866,0.4831066920573866,1.2105256749731759,0.42827058527676265,0.14151963377184232,0.6726556824201686,0.7737780996843855,0.1494043669162201
Referencia_OyE_m0622,APC_3_view_3_fk_NL_05_005,25,0.622,7.132970296133996,0.1491871029138565,1.2399559694006062,0.03165634348988533,0.939753992439116,0.7593280207477298,13.302603662358278,0.690203473943225,17.782410272160337,0.34855434607047237,0.46692326853195276,1.2706363616985,0.37126647653242817,0.13040192035053563,0.668878741116397,0.7311369554518137,0.07525925678753867
Referencia_OyE_m0622,Athena_2_men_in_front_of_house_meting003,25,0.622,7.15239503350014,0.1559208780527115,1.0329762444506796,0.03553825616836548,0.681050796814139,0.47048692431652217,16.522649226650206,0.6480381357924319,14.895967704730493,0.47280677219042366,0.36291487501868425,1.8231575807650033,0.3178035342590112,0.15842009300058343,0.6766326699833471,0.8149386281060498,0.3943898710688931
Referencia_OyE_m0622,Athena_APC_4_fennek01_005,25,0.622,6.461530875309092,0.08609358221292496,1.0295148370901257,0.03294973075389862,0.4148072374339686,0.13721236488800032,14.003025470553148,0.6760586782297178,21.256798069811865,0.3458998116586245,0.47152359298141766,1.843557995363105,0.30178270012544917,0.10052396598016723,0.6646823907540694,0.7145507993255465,0.37204907674211635
Referencia_OyE_m0622,Athena_heather_hei_vis,25,0.622,7.208489312215566,0.1529507339000702,1.004641726936335,0.038511719554662704,0.6606415748991354,0.5130488329705256,17.475831796546252,0.5948206608898486,15.2297565049371,0.433613814212111,0.3971338347513209,1.6922777905574362,0.3337985573348327,0.15181828517362847,0.674726671050565,0.7753406702566773,0.18418443019060246
