rival,metric,mean_prop,mean_riv,p,rb,p_holm
anterior,EN,6.612528630408586,6.72170775,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
anterior,SD,0.11501891389489174,0.12455190000000002,1.9073486328125e-05,-0.9523809523809523,3.814697265625e-05
anterior,FE,1.044259887755953,1.0617866,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
anterior,MG,0.019061396736651658,0.023548,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
anterior,MI_vis,1.3741436467963595,1.3627931,0.012079238891601562,0.6285714285714286,0.012079238891601562
anterior,MI_ir,0.927418376536781,0.9139679,0.01923370361328125,0.5904761904761905,0.0384674072265625
anterior,SF,9.519245171546936,11.92337805,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
anterior,Qabf,0.49481820138434013,0.4583347000000001,0.5958194732666016,0.14285714285714285,0.9047508239746094
anterior,Nabf,0.035252497405495756,0.11682309999999999,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
anterior,SSIM,0.7834616668262742,0.73924,3.814697265625e-06,0.9904761904761905,1.1444091796875e-05
anterior,SCD,1.4211779929697514,1.4301606,0.16495704650878906,-0.3619047619047619,0.17938995361328125
anterior,VIF,0.3610998789062764,0.3563688,0.1893482208251953,0.34285714285714286,0.1893482208251953
Laplace,EN,6.612528630408586,6.83502455,0.000850677490234375,-0.8,0.000850677490234375
Laplace,SD,0.11501891389489174,0.15482084999999995,5.7220458984375e-06,-0.9809523809523809,1.71661376953125e-05
Laplace,FE,1.044259887755953,1.07915715,0.0010166168212890625,-0.7904761904761904,0.0010166168212890625
Laplace,MG,0.019061396736651658,0.024806250000000002,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
Laplace,MI_vis,1.3741436467963595,2.1183156,0.0004825592041015625,-0.8285714285714286,0.0014476776123046875
Laplace,MI_ir,0.927418376536781,1.07165235,0.06372261047363281,-0.47619047619047616,0.06372261047363281
Laplace,SF,9.519245171546936,13.039955400000002,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
Laplace,Qabf,0.49481820138434013,0.44192365,0.4523754119873047,0.2,0.9047508239746094
Laplace,Nabf,0.035252497405495756,0.10804659999999999,9.5367431640625e-06,-0.9714285714285714,1.1444091796875e-05
Laplace,SSIM,0.7834616668262742,0.7208349000000001,3.814697265625e-06,0.9904761904761905,1.1444091796875e-05
Laplace,SCD,1.4211779929697514,1.3217409500000001,0.08969497680664062,0.4380952380952381,0.17938995361328125
Laplace,VIF,0.3610998789062764,0.4101106,8.20159912109375e-05,-0.9047619047619048,0.000164031982421875
Curvelet,EN,6.612528630408586,6.6645217,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
Curvelet,SD,0.11501891389489174,0.11665680000000003,0.000850677490234375,-0.8,0.000850677490234375
Curvelet,FE,1.044259887755953,1.0529133,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
Curvelet,MG,0.019061396736651658,0.025629400000000004,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
Curvelet,MI_vis,1.3741436467963595,1.3038132499999997,0.0007076263427734375,0.8095238095238095,0.0014476776123046875
Curvelet,MI_ir,0.927418376536781,0.8842803499999998,0.0007076263427734375,0.8095238095238095,0.0021228790283203125
Curvelet,SF,9.519245171546936,13.150963850000002,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
Curvelet,Qabf,0.49481820138434013,0.47617085000000003,3.62396240234375e-05,0.9333333333333333,0.0001087188720703125
Curvelet,Nabf,0.035252497405495756,0.1914919,3.814697265625e-06,-0.9904761904761905,1.1444091796875e-05
Curvelet,SSIM,0.7834616668262742,0.7304732,3.814697265625e-06,0.9904761904761905,1.1444091796875e-05
Curvelet,SCD,1.4211779929697514,1.32084575,1.9073486328125e-06,1.0,5.7220458984375e-06
Curvelet,VIF,0.3610998789062764,0.30665965000000006,1.9073486328125e-06,1.0,5.7220458984375e-06
