metric,tophat,baseline,mean_tophat,mean_baseline,diff,wilcoxon_W,p_value,effect_r,p_holm,sig_holm_05
EN,TopHat_square_L3,Curvelet,6.6901,6.6645,0.0255,33.0,0.012595170865161685,0.653,0.1329,False
EN,TopHat_square_L3,Multiescala_n8,6.6901,6.5915,0.0986,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_square_L3,Optimo_Multiescala,6.6901,6.6627,0.0274,32.0,0.00485992431640625,0.695,0.0679,False
EN,TopHat_square_L3,PiramideLaplace,6.6901,6.835,-0.145,26.0,0.005491205694554839,-0.726,0.0679,False
EN,TopHat_square_L3,Promedio,6.6901,6.5178,0.1723,0.0,0.0001318338889828333,1.0,0.0028,True
EN,TopHat_square_L3,Propuesta_Novedosa,6.6901,6.6125,0.0775,3.0,9.5367431640625e-06,0.971,0.0003,True
EN,TopHat_square_L3_BTH,Curvelet,6.997,6.6645,0.3324,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_square_L3_BTH,Multiescala_n8,6.997,6.5915,0.4055,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_square_L3_BTH,Optimo_Multiescala,6.997,6.6627,0.3343,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_square_L3_BTH,PiramideLaplace,6.997,6.835,0.1619,39.0,0.012079238891601562,0.629,0.1329,False
EN,TopHat_square_L3_BTH,Promedio,6.997,6.5178,0.4792,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_square_L3_BTH,Propuesta_Novedosa,6.997,6.6125,0.3844,1.0,3.814697265625e-06,0.99,0.0002,True
SD,TopHat_Optimo,Curvelet,0.1129,0.1167,-0.0038,1.0,3.814697265625e-06,-0.99,0.0001,True
SD,TopHat_Optimo,Multiescala_n8,0.1129,0.1133,-0.0004,68.0,0.17685317993164062,-0.352,1.0,False
SD,TopHat_Optimo,Optimo_Multiescala,0.1129,0.1193,-0.0065,0.0,1.9073486328125e-06,-1.0,0.0001,True
SD,TopHat_Optimo,PiramideLaplace,0.1129,0.1548,-0.042,1.0,3.814697265625e-06,-0.99,0.0001,True
SD,TopHat_Optimo,Promedio,0.1129,0.1092,0.0037,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_Optimo,Propuesta_Novedosa,0.1129,0.115,-0.0022,0.0,1.9073486328125e-06,-1.0,0.0001,True
SD,TopHat_cross_L3,Curvelet,0.1187,0.1167,0.002,33.0,0.012595170865161685,0.653,0.1134,False
SD,TopHat_cross_L3,Multiescala_n8,0.1187,0.1133,0.0054,8.0,4.76837158203125e-05,0.924,0.0012,True
SD,TopHat_cross_L3,Optimo_Multiescala,0.1187,0.1193,-0.0007,91.0,0.6215133666992188,-0.133,1.0,False
SD,TopHat_cross_L3,PiramideLaplace,0.1187,0.1548,-0.0362,0.0,0.0001318338889828333,-1.0,0.003,True
SD,TopHat_cross_L3,Promedio,0.1187,0.1092,0.0095,0.0,0.0001318338889828333,1.0,0.003,True
SD,TopHat_cross_L3,Propuesta_Novedosa,0.1187,0.115,0.0036,23.0,0.001209259033203125,0.781,0.0157,True
SD,TopHat_cross_L3_BTH,Curvelet,0.1433,0.1167,0.0266,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_cross_L3_BTH,Multiescala_n8,0.1433,0.1133,0.03,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_cross_L3_BTH,Optimo_Multiescala,0.1433,0.1193,0.024,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_cross_L3_BTH,PiramideLaplace,0.1433,0.1548,-0.0115,69.0,0.1893482208251953,-0.343,1.0,False
SD,TopHat_cross_L3_BTH,Promedio,0.1433,0.1092,0.0341,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_cross_L3_BTH,Propuesta_Novedosa,0.1433,0.115,0.0283,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_disk_L3,Curvelet,0.1197,0.1167,0.003,24.0,0.0042740329557000925,0.747,0.0427,True
SD,TopHat_disk_L3,Multiescala_n8,0.1197,0.1133,0.0064,5.0,1.9073486328125e-05,0.952,0.0005,True
SD,TopHat_disk_L3,Optimo_Multiescala,0.1197,0.1193,0.0003,89.0,0.5705966949462891,0.152,1.0,False
SD,TopHat_disk_L3,PiramideLaplace,0.1197,0.1548,-0.0352,0.0,0.0001318338889828333,-1.0,0.003,True
SD,TopHat_disk_L3,Promedio,0.1197,0.1092,0.0105,0.0,0.0001318338889828333,1.0,0.003,True
SD,TopHat_disk_L3,Propuesta_Novedosa,0.1197,0.115,0.0046,14.0,0.000209808349609375,0.867,0.0034,True
SD,TopHat_disk_L3_BTH,Curvelet,0.143,0.1167,0.0263,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_disk_L3_BTH,Multiescala_n8,0.143,0.1133,0.0297,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_disk_L3_BTH,Optimo_Multiescala,0.143,0.1193,0.0237,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_disk_L3_BTH,PiramideLaplace,0.143,0.1548,-0.0118,67.0,0.16495704650878906,-0.362,1.0,False
SD,TopHat_disk_L3_BTH,Promedio,0.143,0.1092,0.0338,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_disk_L3_BTH,Propuesta_Novedosa,0.143,0.115,0.028,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_disk_L5,Curvelet,0.1246,0.1167,0.0079,4.0,0.00025021619831076065,0.958,0.0038,True
SD,TopHat_disk_L5,Multiescala_n8,0.1246,0.1133,0.0113,2.0,5.7220458984375e-06,0.981,0.0002,True
SD,TopHat_disk_L5,Optimo_Multiescala,0.1246,0.1193,0.0052,27.0,0.0023250579833984375,0.743,0.0256,True
SD,TopHat_disk_L5,PiramideLaplace,0.1246,0.1548,-0.0303,15.0,0.001284705613291876,-0.842,0.0157,True
SD,TopHat_disk_L5,Promedio,0.1246,0.1092,0.0154,0.0,0.0001318338889828333,1.0,0.003,True
SD,TopHat_disk_L5,Propuesta_Novedosa,0.1246,0.115,0.0095,5.0,1.9073486328125e-05,0.952,0.0005,True
SD,TopHat_disk_L5_BTH,Curvelet,0.161,0.1167,0.0443,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_disk_L5_BTH,Multiescala_n8,0.161,0.1133,0.0477,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_disk_L5_BTH,Optimo_Multiescala,0.161,0.1193,0.0416,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_disk_L5_BTH,PiramideLaplace,0.161,0.1548,0.0062,80.0,0.36827659606933594,0.238,1.0,False
SD,TopHat_disk_L5_BTH,Promedio,0.161,0.1092,0.0518,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_disk_L5_BTH,Propuesta_Novedosa,0.161,0.115,0.046,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_square_L3,Curvelet,0.1209,0.1167,0.0043,11.0,0.000723953499988853,0.884,0.0101,True
SD,TopHat_square_L3,Multiescala_n8,0.1209,0.1133,0.0076,3.0,9.5367431640625e-06,0.971,0.0003,True
SD,TopHat_square_L3,Optimo_Multiescala,0.1209,0.1193,0.0016,59.0,0.08969497680664062,0.438,0.7176,False
SD,TopHat_square_L3,PiramideLaplace,0.1209,0.1548,-0.0339,0.0,0.0001318338889828333,-1.0,0.003,True
SD,TopHat_square_L3,Promedio,0.1209,0.1092,0.0117,0.0,0.0001318338889828333,1.0,0.003,True
SD,TopHat_square_L3,Propuesta_Novedosa,0.1209,0.115,0.0059,8.0,4.76837158203125e-05,0.924,0.0012,True
SD,TopHat_square_L3_BTH,Curvelet,0.1459,0.1167,0.0293,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_square_L3_BTH,Multiescala_n8,0.1459,0.1133,0.0326,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_square_L3_BTH,Optimo_Multiescala,0.1459,0.1193,0.0266,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_square_L3_BTH,PiramideLaplace,0.1459,0.1548,-0.0089,73.0,0.24548721313476562,-0.305,1.0,False
SD,TopHat_square_L3_BTH,Promedio,0.1459,0.1092,0.0367,0.0,1.9073486328125e-06,1.0,0.0001,True
SD,TopHat_square_L3_BTH,Propuesta_Novedosa,0.1459,0.115,0.0309,0.0,1.9073486328125e-06,1.0,0.0001,True
FE,TopHat_Optimo,Curvelet,1.0423,1.0529,-0.0107,1.0,3.814697265625e-06,-0.99,0.0002,True
FE,TopHat_Optimo,Multiescala_n8,1.0423,1.041,0.0013,85.0,0.47490501403808594,0.19,1.0,False
FE,TopHat_Optimo,Optimo_Multiescala,1.0423,1.0522,-0.01,5.0,1.9073486328125e-05,-0.952,0.0005,True
FE,TopHat_Optimo,PiramideLaplace,1.0423,1.0792,-0.0369,23.0,0.001209259033203125,-0.781,0.0193,True
FE,TopHat_Optimo,Promedio,1.0423,1.029,0.0133,0.0,1.9073486328125e-06,1.0,0.0001,True
FE,TopHat_Optimo,Propuesta_Novedosa,1.0423,1.0443,-0.002,63.0,0.1230926513671875,-0.4,0.6155,False
FE,TopHat_cross_L3,Curvelet,1.0525,1.0529,-0.0004,91.0,0.8721180313900541,0.042,1.0,False
FE,TopHat_cross_L3,Multiescala_n8,1.0525,1.041,0.0115,2.0,5.7220458984375e-06,0.981,0.0002,True
FE,TopHat_cross_L3,Optimo_Multiescala,1.0525,1.0522,0.0002,98.0,0.8123550415039062,0.067,1.0,False
FE,TopHat_cross_L3,PiramideLaplace,1.0525,1.0792,-0.0267,24.0,0.0042740329557000925,-0.747,0.0641,False
FE,TopHat_cross_L3,Promedio,1.0525,1.029,0.0235,0.0,0.0001318338889828333,1.0,0.0028,True
FE,TopHat_cross_L3,Propuesta_Novedosa,1.0525,1.0443,0.0082,6.0,2.6702880859375e-05,0.943,0.0006,True
FE,TopHat_cross_L3_BTH,Curvelet,1.1031,1.0529,0.0501,0.0,1.9073486328125e-06,1.0,0.0001,True
FE,TopHat_cross_L3_BTH,Multiescala_n8,1.1031,1.041,0.0621,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_cross_L3_BTH,Optimo_Multiescala,1.1031,1.0522,0.0508,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_cross_L3_BTH,PiramideLaplace,1.1031,1.0792,0.0239,46.0,0.026641845703125,0.562,0.2131,False
FE,TopHat_cross_L3_BTH,Promedio,1.1031,1.029,0.0741,0.0,1.9073486328125e-06,1.0,0.0001,True
FE,TopHat_cross_L3_BTH,Propuesta_Novedosa,1.1031,1.0443,0.0588,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_disk_L3,Curvelet,1.0546,1.0529,0.0016,68.0,0.2772406362261136,0.284,1.0,False
FE,TopHat_disk_L3,Multiescala_n8,1.0546,1.041,0.0136,2.0,5.7220458984375e-06,0.981,0.0002,True
FE,TopHat_disk_L3,Optimo_Multiescala,1.0546,1.0522,0.0023,60.0,0.09730720520019531,0.429,0.5838,False
FE,TopHat_disk_L3,PiramideLaplace,1.0546,1.0792,-0.0246,26.0,0.005491205694554839,-0.726,0.0714,False
FE,TopHat_disk_L3,Promedio,1.0546,1.029,0.0256,0.0,0.0001318338889828333,1.0,0.0028,True
FE,TopHat_disk_L3,Propuesta_Novedosa,1.0546,1.0443,0.0103,4.0,1.33514404296875e-05,0.962,0.0003,True
FE,TopHat_disk_L3_BTH,Curvelet,1.1022,1.0529,0.0493,0.0,1.9073486328125e-06,1.0,0.0001,True
FE,TopHat_disk_L3_BTH,Multiescala_n8,1.1022,1.041,0.0613,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_disk_L3_BTH,Optimo_Multiescala,1.1022,1.0522,0.05,0.0,1.9073486328125e-06,1.0,0.0001,True
FE,TopHat_disk_L3_BTH,PiramideLaplace,1.1022,1.0792,0.0231,48.0,0.03276824951171875,0.543,0.2294,False
FE,TopHat_disk_L3_BTH,Promedio,1.1022,1.029,0.0733,0.0,1.9073486328125e-06,1.0,0.0001,True
FE,TopHat_disk_L3_BTH,Propuesta_Novedosa,1.1022,1.0443,0.058,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_disk_L5,Curvelet,1.0618,1.0529,0.0089,13.0,0.00096733447244177,0.863,0.0164,True
FE,TopHat_disk_L5,Multiescala_n8,1.0618,1.041,0.0208,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_disk_L5,Optimo_Multiescala,1.0618,1.0522,0.0096,9.0,6.29425048828125e-05,0.914,0.0014,True
FE,TopHat_disk_L5,PiramideLaplace,1.0618,1.0792,-0.0174,37.0,0.01959328479398985,-0.611,0.1763,False
FE,TopHat_disk_L5,Promedio,1.0618,1.029,0.0328,0.0,0.0001318338889828333,1.0,0.0028,True
FE,TopHat_disk_L5,Propuesta_Novedosa,1.0618,1.0443,0.0175,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_disk_L5_BTH,Curvelet,1.124,1.0529,0.0711,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_disk_L5_BTH,Multiescala_n8,1.124,1.041,0.083,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_disk_L5_BTH,Optimo_Multiescala,1.124,1.0522,0.0718,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_disk_L5_BTH,PiramideLaplace,1.124,1.0792,0.0448,8.0,4.76837158203125e-05,0.924,0.0011,True
FE,TopHat_disk_L5_BTH,Promedio,1.124,1.029,0.095,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_disk_L5_BTH,Propuesta_Novedosa,1.124,1.0443,0.0797,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_square_L3,Curvelet,1.0568,1.0529,0.0038,35.0,0.015755486091547432,0.632,0.1576,False
FE,TopHat_square_L3,Multiescala_n8,1.0568,1.041,0.0158,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_square_L3,Optimo_Multiescala,1.0568,1.0522,0.0045,32.0,0.00485992431640625,0.695,0.068,False
FE,TopHat_square_L3,PiramideLaplace,1.0568,1.0792,-0.0224,26.0,0.005491205694554839,-0.726,0.0714,False
FE,TopHat_square_L3,Promedio,1.0568,1.029,0.0278,0.0,0.0001318338889828333,1.0,0.0028,True
FE,TopHat_square_L3,Propuesta_Novedosa,1.0568,1.0443,0.0125,3.0,9.5367431640625e-06,0.971,0.0003,True
FE,TopHat_square_L3_BTH,Curvelet,1.1062,1.0529,0.0533,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_square_L3_BTH,Multiescala_n8,1.1062,1.041,0.0653,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_square_L3_BTH,Optimo_Multiescala,1.1062,1.0522,0.054,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_square_L3_BTH,PiramideLaplace,1.1062,1.0792,0.0271,39.0,0.012079238891601562,0.629,0.1329,False
FE,TopHat_square_L3_BTH,Promedio,1.1062,1.029,0.0773,1.0,3.814697265625e-06,0.99,0.0002,True
FE,TopHat_square_L3_BTH,Propuesta_Novedosa,1.1062,1.0443,0.062,1.0,3.814697265625e-06,0.99,0.0002,True
MG,TopHat_Optimo,Curvelet,0.0232,0.0256,-0.0024,8.0,4.76837158203125e-05,-0.924,0.0009,True
MG,TopHat_Optimo,Multiescala_n8,0.0232,0.0186,0.0046,1.0,3.814697265625e-06,0.99,0.0001,True
MG,TopHat_Optimo,Optimo_Multiescala,0.0232,0.0209,0.0023,12.0,0.000133514404296875,0.886,0.0024,True
MG,TopHat_Optimo,PiramideLaplace,0.0232,0.0248,-0.0016,31.0,0.0042209625244140625,-0.705,0.0042,True
MG,TopHat_Optimo,Promedio,0.0232,0.0144,0.0088,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_Optimo,Propuesta_Novedosa,0.0232,0.0191,0.0042,1.0,3.814697265625e-06,0.99,0.0001,True
