metrica,brazo,dif_propuesta_menos_brazo,p,p_holm,sig,propuesta_mejor
Q0,disco,-0.053921,1.9073486328125e-06,9.5367431640625e-06,True,False
Q0,lineas,-0.052824,1.9073486328125e-06,9.5367431640625e-06,True,False
Q0,promedio,-0.056032,1.9073486328125e-06,9.5367431640625e-06,True,False
Q0,maximo,-0.05363,1.9073486328125e-06,9.5367431640625e-06,True,False
QW,base,0.09901,1.9073486328125e-06,9.5367431640625e-06,True,True
QW,disco,-0.028022,9.5367431640625e-06,3.814697265625e-05,True,False
QW,lineas,-0.022849,0.0042209625244140625,0.0042209625244140625,True,False
QW,promedio,-0.027662,3.62396240234375e-05,7.2479248046875e-05,True,False
QW,maximo,-0.028455,9.5367431640625e-06,3.814697265625e-05,True,False
QE,base,0.050604,0.001209259033203125,0.006046295166015625,True,True
QE,disco,-0.005972,0.21616744995117188,0.6485023498535156,False,False
QE,lineas,-0.002115,0.38837623596191406,0.6485023498535156,False,False
QE,promedio,-0.007466,0.10539817810058594,0.42159271240234375,False,False
QE,maximo,-0.006229,0.21616744995117188,0.6485023498535156,False,False
