metodo,parametro,valor,clave,imagen,EN,SD,FE,MG,MI_vis,MI_ir,SF,SSIM,PSNR,Qabf,Nabf,SCD,VIF,FMI,Q0,QW,QE
PiramideLaplace,levels,1,PiramideLaplace|1,APC_1_view_1_fk_06_005,5.9116366979010815,0.09908610582351685,1.0984400329189417,0.022032810375094414,2.611520705324817,1.5531120525423079,12.439520874310347,0.7075457906115663,17.4095204332626,0.1613598175843436,0.003082641447714821,1.2126522228540213,0.4881915204352355,0.2350294557422066,0.6933633926758405,0.7479128600643975,0.10358715120187177
PiramideLaplace,levels,1,PiramideLaplace|1,APC_1_view_2_fk_ref_01_005,6.630936977690336,0.1353839635848999,1.0880292729261243,0.021832002326846123,3.370660303403893,1.5823361072009257,13.507282806159001,0.7648512140307435,18.588166355346733,0.1678971529129252,0.002776557657014876,1.228766313879075,0.5243210997927057,0.24149974908240496,0.7156096745836085,0.8644905481703339,0.13077752507128934
PiramideLaplace,levels,1,PiramideLaplace|1,APC_1_view_3_fk_ref_02_005,6.98063209576975,0.16003143787384033,1.086993695569343,0.026124313473701477,3.2498648770950336,2.043610064776158,15.611183121912012,0.7219319181085289,17.47095151737265,0.1799641825615092,0.002282840384338561,1.1255918832458947,0.5416915058132578,0.27655456715129256,0.7191251661869831,0.8704786366361874,0.31554432459841775
PiramideLaplace,levels,1,PiramideLaplace|1,APC_3_view_1_fk_bar_06_005,5.984033930816416,0.10334593802690506,1.0967413609475143,0.01984826847910881,2.1870615356268264,2.285174570776972,12.864207842003378,0.7850294937572979,21.468961764219774,0.19794355974749642,0.004975676053881304,1.024416050648474,0.4835928552043648,0.2575211303589794,0.658027730424893,0.8660827806390874,0.14868891212246316
PiramideLaplace,levels,1,PiramideLaplace|1,APC_3_view_2_fk_NL_01_005,6.543715777813801,0.13518068194389343,1.0953156741262948,0.0189494825899601,3.4005594330564897,1.4754896992916646,10.194987565541284,0.7645799912909708,17.475840540819917,0.12097928827960364,0.0017618306860730563,1.1629715737636506,0.5187055810393625,0.2325816824446574,0.6778865182820678,0.76815531424965,0.12272268915007613
PiramideLaplace,levels,1,PiramideLaplace|1,APC_3_view_3_fk_NL_05_005,6.53605029329398,0.1641661524772644,1.1361907089203738,0.019474390894174576,3.661661301947846,1.3340184625254325,8.853985622259934,0.7312615991226286,15.643855255012944,0.13605784180336636,0.0038337722249020276,1.1933164823906222,0.457262217210677,0.19055911301687956,0.656305049164216,0.6792025676630347,0.04728564177214311
PiramideLaplace,levels,1,PiramideLaplace|1,Athena_2_men_in_front_of_house_meting003,6.572016963958044,0.17772431671619415,0.9491558240419725,0.019197918474674225,2.09576299211741,2.5525522852529585,9.830885085583754,0.6885635593211121,12.860852295073675,0.20543160004544417,0.0022696658711102813,1.6983140762440847,0.4311947134922264,0.22881143806054793,0.5126182076326654,0.5967873136171961,0.1572759453820391
PiramideLaplace,levels,1,PiramideLaplace|1,Athena_APC_4_fennek01_005,6.027928971083634,0.06445463001728058,0.9604291045593983,0.02034146711230278,2.4775769160142467,1.011762479428182,9.03817747173913,0.7125335168918349,20.040184074152062,0.12123912244411215,0.004259262137671592,1.4555647812513273,0.4090997841144586,0.23580474404220897,0.5974402444851048,0.6769408135943655,0.3629619827893581
PiramideLaplace,levels,1,PiramideLaplace|1,Athena_heather_hei_vis,6.59152223153493,0.09647289663553238,0.9186554895221388,0.014791182242333889,1.306422693923841,2.9779286830635625,7.130961357186939,0.650292219274027,13.12547194725421,0.08131168157113772,0.0022052816190688994,1.1080898383410644,0.363930342518743,0.20997234873466458,0.3013695538892054,0.20929790917468172,0.026563450992663745
PiramideLaplace,levels,1,PiramideLaplace|1,Athena_helicopter_helib_011,4.565471961209728,0.04988327622413635,0.9871993599208503,0.011981824412941933,3.09577879426855,0.5455062297332247,5.367653797726611,0.7897801314730813,15.539668301098406,0.09289511106177027,0.0007009264088439254,1.6715661305010117,0.4591154791102171,0.39132373270702175,0.7314688837776331,0.5545683359151028,0.37780563082605956
PiramideLaplace,levels,1,PiramideLaplace|1,Athena_lake_lake,6.9393512493079,0.16301611065864563,1.0042040766469291,0.017162563279271126,2.994675976248716,1.7569180195371157,8.469483956671189,0.7053616485572201,13.992390185994461,0.11204281579062329,0.0019230858251470947,1.6535889762896412,0.44265418862998906,0.268870363750026,0.5134120308233747,0.5032948236235135,0.18823961078903373
PiramideLaplace,levels,1,PiramideLaplace|1,Athena_man_in_doorway_maninhuis,6.878376899193777,0.1694735437631607,0.9591887598173434,0.02500336617231369,2.6593681493602133,2.0697940475010235,11.605797528943654,0.6440941198538136,12.53247933040328,0.23260831931359377,0.0021635895830245566,1.4988394522509205,0.39603905958039765,0.25258084448490137,0.5394700814581291,0.5692084660418633,0.1113259453408529
PiramideLaplace,levels,1,PiramideLaplace|1,Athena_soldier_behind_smoke_1_meting012-1200,6.821964192523584,0.22972653806209564,1.0034483605646602,0.02480313368141651,4.656603244658616,0.30638231761016543,11.484456266454867,0.6282245276351305,10.643534735770036,0.16339641536947216,0.0014087337198311946,1.1403679726668787,0.47110057796198224,0.4189229007957946,0.6267303363422583,0.6662610857898118,0.11146233018803064
PiramideLaplace,levels,1,PiramideLaplace|1,Athena_soldier_behind_smoke_2_meting012-1500,5.739751494112867,0.23232784867286682,0.9240608620387252,0.01817992329597473,3.9432722456975857,0.37114298330692963,10.939646783344804,0.6384872074657275,8.244710174956113,0.09900485276074174,0.0012236950767980195,1.338806968759632,0.45737153783241224,0.39138412002226336,0.47047140498727025,0.5840415518576441,0.12507280184715722
PiramideLaplace,levels,1,PiramideLaplace|1,Athena_soldier_behind_smoke_3_meting012-1700,7.180496595681757,0.19293896853923798,1.0263320051820832,0.029826795682311058,4.612923220344438,0.4811595555445464,14.142459293098625,0.623251931755835,10.9262082285397,0.12697854367931202,0.0018983712820637411,1.4047396078733427,0.45799459830419875,0.27369468897901467,0.6819567497925328,0.6416622980942053,0.20222859694343823
PiramideLaplace,levels,1,PiramideLaplace|1,Athena_soldier_in_trench_1_meting016,7.018112085218586,0.15991635620594025,1.0233960349343312,0.019327441230416298,3.253486045235347,1.6606129402847896,9.829292558705099,0.7092549286231449,13.798425190222265,0.10147996721651277,0.0025838300068095066,1.6487145482955619,0.4732439629100741,0.22256060698878882,0.6304658198581272,0.5221469069218676,0.1938156545225138
PiramideLaplace,levels,1,PiramideLaplace|1,Athena_soldier_in_trench_2_meting055,6.544150517891979,0.10849373787641525,0.9909228759334037,0.018499407917261124,2.34328654750599,1.806456755288073,10.47290493176535,0.7010957645546412,16.608740145484006,0.10122314145353323,0.002904455591187819,1.5119180091896314,0.493168845369078,0.2160657051558426,0.5344904549803761,0.5429926276978514,0.14604540580558076
PiramideLaplace,levels,1,PiramideLaplace|1,Triclobs_Bosnia_R,6.220193377155408,0.2090023010969162,1.0440470012701524,0.012410080060362816,0.6718279218768622,4.182715973267221,11.536270737443175,0.7209049327735423,12.814995341474734,0.19802787185084364,0.0016892333404340907,0.8572111226504373,0.48493894916949193,0.4236325850405419,0.3427609964745044,0.7964270703123899,0.726143839419411
PiramideLaplace,levels,1,PiramideLaplace|1,Triclobs_Kaptein_1123,7.0743005162031105,0.20071609318256378,1.0115187925347089,0.018314436078071594,1.9937430595501382,2.8959638695366188,8.330380364520062,0.7016811831347982,13.360484628399718,0.15619692709342553,0.001546033222923782,1.6718860232254307,0.48267708056648806,0.2436545047131649,0.5975077026587889,0.6946466129726333,0.42847336098073174
PiramideLaplace,levels,1,PiramideLaplace|1,Triclobs_jeep_in_smoke_R,6.574564533020027,0.13553977012634277,0.9625002045852299,0.020296882838010788,0.8330686865389902,4.20865858565592,13.311237374005941,0.622779661914716,13.912625311084332,0.1257786621343806,0.0024776118407613375,0.7585534448505848,0.44289077356747814,0.38363608164268925,0.2568017497428186,0.5187674878714454,0.2687891431395088
PiramideLaplace,levels,2,PiramideLaplace|2,APC_1_view_1_fk_06_005,6.232525012904381,0.10048748552799225,1.158064226574258,0.0233621746301651,2.241090512979425,1.140173382643036,13.893262139339226,0.7167719336947442,17.459592859373547,0.28367374722327143,0.06523464742068187,1.2298265211508101,0.4232088025449498,0.176511431939112,0.7174448691458691,0.802490642493775,0.1253447544320577
PiramideLaplace,levels,2,PiramideLaplace|2,APC_1_view_2_fk_ref_01_005,6.829081466485839,0.13587403297424316,1.1205415716862888,0.022777408361434937,3.263433982466515,1.1149510062188162,13.666551148137364,0.7708705156117633,18.598631976343135,0.2643882509451553,0.048690664769655265,1.2364933171314612,0.4900073372273053,0.2227695566662004,0.7550911565673742,0.8806796153947294,0.139343736290748
PiramideLaplace,levels,2,PiramideLaplace|2,APC_1_view_3_fk_ref_02_005,7.212757793754514,0.16043931245803833,1.1231393005557422,0.027667395770549774,3.2035660692591956,1.3984764941545906,15.97610477694799,0.7290530800882203,17.48011013385122,0.27537363269620135,0.0540352281392894,1.1276411679324694,0.4865600399170362,0.23858585040949876,0.7622871994652881,0.8894853557290698,0.343478032457522
PiramideLaplace,levels,2,PiramideLaplace|2,APC_3_view_1_fk_bar_06_005,6.3933050317552595,0.10392597317695618,1.1717517217558988,0.021829089149832726,2.097908150955109,1.5895320345063715,13.428802308937595,0.7946437577272001,21.492608249452974,0.341427306063347,0.07901606206629493,1.0407844891413214,0.44281461374721076,0.2111384529177881,0.7389579421369588,0.8877039980766714,0.17041787211293485
PiramideLaplace,levels,2,PiramideLaplace|2,APC_3_view_2_fk_NL_01_005,6.696879514278491,0.13583271205425262,1.1209528880508846,0.019631724804639816,3.0445363701864077,1.155511126804598,10.38103700517671,0.7723384850695905,17.484811821741207,0.24790350840309588,0.062295787530560094,1.1778137188873052,0.45273635121563616,0.18957996535999616,0.6988502025354857,0.7982390463417416,0.13634867258313496
PiramideLaplace,levels,2,PiramideLaplace|2,APC_3_view_3_fk_NL_05_005,6.845559848310843,0.16525357961654663,1.1899941322344578,0.02039816416800022,3.139027523153557,0.995530931661298,9.373974569994578,0.7421437117817812,15.653843731539627,0.2664887138896159,0.07149941168855362,1.2138619403623254,0.3902016671654869,0.15563848311322917,0.687206631411004,0.7221853809349985,0.053518899906169495
