method,EN,SD,FE,MG,MI_vis,MI_ir,SF,Qabf,Nabf,SSIM,SCD,VIF
"Propuesta_Fapt(r=25,m=0.07)",6.6406,0.1173,1.0487,0.0194,1.3422,0.9088,9.6441,0.4999,0.0406,0.7822,1.4498,0.3683
"Clasico_Fo(r=25,m=0.30)",6.8045,0.1309,1.0747,0.0257,1.153,0.7711,12.9219,0.5338,0.184,0.7447,1.5035,0.3954
"Propuesta_Fo(r=1,m=0.30)",6.5981,0.1129,1.0423,0.0232,1.3681,0.9316,12.403,0.4478,0.1211,0.7607,1.3528,0.3219
"Clasico_manual(r=5,m=1)",6.9334,0.1387,1.0961,0.0473,0.8722,0.5864,22.8554,0.3045,0.5845,0.5781,1.36,0.3336
