operador,detalle_medio,ganancia_vs_clasico
Top-Hat clásico · disco B_5,0.03220047118763129,1.0
Disco B_25 (una rama),0.08470313871900241,2.6304937659278176
Propuesta · W_opt = líneas + disco (r=25),0.13540653015176454,4.205110209808866
