clave,rango_9,puesto
Propuesta_Novedosa,3.5277777777777777,1
TopHat_r25_m030,3.694444444444445,2
PiramideLaplace,3.877777777777778,3
RatioPiramide,3.9833333333333334,4
DTCWT,4.205555555555556,5
DWT,4.227777777777778,6
Curvelet,4.483333333333333,7
