method,FMI,Q0,QW,QE
PiramideLaplace,0.27608542844163386,0.7435498999966043,0.8559706800664134,0.4040120779139157
RatioPiramide,0.1900443166610267,0.7158138463820232,0.8293874176772453,0.36504953081893815
DWT,0.1992909293726558,0.7201336431453461,0.8216620614689842,0.3699776809362587
DTCWT,0.23559263305651243,0.7574128681782217,0.8564259613136356,0.3993460125324407
Curvelet,0.197104614428369,0.727180250076178,0.8233368938651913,0.36915282095436297
TopHat_Clasico,0.15936502512462794,0.6125228294280134,0.7454246184369906,0.3060303807797581
Propuesta_Novedosa,0.20811431415942297,0.7604095655010885,0.8133167006613826,0.37701824557364827
