method,rango_9,rango_17,puesto_9,puesto_17
Referencia_OyE,3.8833333333333337,4.41764705882353,1,4
Propuesta_Novedosa,3.9555555555555557,3.8529411764705883,2,3
TopHat_Clasico,4.538888888888889,5.755882352941177,3,8
PiramideLaplace,4.544444444444443,3.5970588235294114,4,1
RatioPiramide,4.616666666666666,4.455882352941176,5,5
DTCWT,4.672222222222222,3.6852941176470586,6,2
DWT,4.777777777777778,5.052941176470588,7,6
Curvelet,5.011111111111111,5.182352941176471,8,7
