metric,tophat,baseline,mean_tophat,mean_baseline,p_value
conf_mean,TopHat_disk_L5,Promedio,0.209,0.17,0.21352435403618242
conf_mean,TopHat_disk_L5,PiramideLaplace,0.209,0.161,0.1730709208049953
conf_mean,TopHat_disk_L5,Curvelet,0.209,0.156,0.1688069535565081
conf_mean,TopHat_disk_L5,VIS,0.209,0.092,0.11412832776223863
conf_mean,TopHat_disk_L5,IR,0.209,0.259,0.463071015014588
conf_mean,TopHat_disk_L5_BTH,Promedio,0.181,0.17,0.7212766990291557
conf_mean,TopHat_disk_L5_BTH,PiramideLaplace,0.181,0.161,0.5146697234497355
conf_mean,TopHat_disk_L5_BTH,Curvelet,0.181,0.156,0.480176889906077
conf_mean,TopHat_disk_L5_BTH,VIS,0.181,0.092,0.13941397332153205
conf_mean,TopHat_disk_L5_BTH,IR,0.181,0.259,0.3078214719088427
conf_mean,TopHat_square_L3,Promedio,0.193,0.17,0.9593536340401635
conf_mean,TopHat_square_L3,PiramideLaplace,0.193,0.161,0.16142946236708333
conf_mean,TopHat_square_L3,Curvelet,0.193,0.156,0.3862707203664827
conf_mean,TopHat_square_L3,VIS,0.193,0.092,0.1386406338132186
conf_mean,TopHat_square_L3,IR,0.193,0.259,0.23931654122149526
conf_mean,TopHat_square_L3_BTH,Promedio,0.204,0.17,0.5937116848746409
conf_mean,TopHat_square_L3_BTH,PiramideLaplace,0.204,0.161,0.1730709208049953
conf_mean,TopHat_square_L3_BTH,Curvelet,0.204,0.156,0.2845026979112075
conf_mean,TopHat_square_L3_BTH,VIS,0.204,0.092,0.07446183141740546
conf_mean,TopHat_square_L3_BTH,IR,0.204,0.259,0.421578895217645
