method,EN,SD,FE,MG,MI_vis,MI_ir,SF,SSIM,PSNR
Curvelet,6.6422,0.1124,1.0557,0.0262,1.1086,0.667,13.5445,0.7163,17.7237
DTCWT,6.6858,0.1165,1.0627,0.0257,1.09,0.6711,13.4136,0.7249,17.6692
DWT,6.6797,0.1158,1.0617,0.0277,1.0884,0.6635,14.3689,0.7014,17.6597
PiramideLaplace,6.8216,0.1526,1.0833,0.0254,1.9633,0.8615,13.4277,0.7061,15.0197
Propuesta_Novedosa,6.6163,0.1126,1.0511,0.0195,1.2277,0.7715,9.7923,0.7715,17.8364
RatioPiramide,6.8148,0.1269,1.0832,0.0276,0.9648,0.6606,13.741,0.7065,17.4437
TopHat_Clasico,6.9217,0.135,1.1007,0.0483,0.7914,0.4905,23.476,0.5633,16.9195
