metric,chi2,p_value,significant_05
EN,87.87969924812023,8.348606551880618e-17,True
SD,101.43609022556393,1.2584889822471424e-19,True
FE,87.87969924812023,8.348606551880618e-17,True
MG,96.6992481203007,1.2238862632323473e-18,True
MI_vis,76.87218045112775,1.5792648853485793e-14,True
MI_ir,61.218045112781965,2.5450539887887596e-11,True
SF,92.57142857142856,8.851029675071818e-18,True
SSIM,98.61654135338347,4.87652524181772e-19,True
PSNR,111.56390977443607,9.588047249954367e-22,True
