,EN,SD,FE,MG,MI_vis,MI_ir,SF,SSIM,PSNR,avg_rank,avg_rank_sin_FE,avg_rank_medias
PiramideLaplace,2.737,1.632,2.737,5.263,1.895,2.316,4.632,4.789,7.0,3.667,3.783,3.333
RatioPiramide,2.526,2.632,2.526,3.737,5.316,3.632,4.053,3.789,5.158,3.708,3.855,4.0
TopHat_Clasico,1.526,1.895,1.526,1.0,6.789,6.789,1.0,7.0,5.842,3.708,3.98,3.667
DTCWT,3.947,4.053,3.947,5.0,4.211,4.158,4.947,2.316,3.211,3.977,3.98,3.889
DWT,4.526,4.842,4.526,2.263,4.316,4.789,2.158,5.579,3.789,4.088,4.033,4.333
Propuesta_Novedosa,6.684,6.316,6.684,7.0,1.842,2.105,7.0,1.0,1.0,4.404,4.118,4.444
Curvelet,6.053,6.632,6.053,3.737,3.632,4.211,4.211,3.526,2.0,4.45,4.25,4.333
